timestamp,latitude,longitude,altitude
2017-05-01T09:05:50.000+09:00,34.15899896621704,134.50285136699677,24.43
2017-05-01T09:05:51.000+09:00,34.15899896621704,134.50285136699677,24.43
2017-05-01T09:05:52.000+09:00,34.15899896621704,134.50285136699677,22.23
2017-05-01T09:05:53.000+09:00,34.15899181365967,134.50283288955688,25.26
2017-05-01T09:05:54.000+09:00,34.15898132324219,134.50284361839294,25.23
2017-05-01T09:05:55.000+09:00,34.159005641937256,134.50287342071533,25.88
2017-05-01T09:05:56.000+09:00,34.158995628356934,134.5028623342514,25.84
2017-05-01T09:05:57.000+09:00,34.158995628356934,134.5028623342514,25.79
2017-05-01T09:05:58.000+09:00,34.15901172161102,134.50275778770447,25.79
2017-05-01T09:05:59.000+09:00,34.15898835659027,134.50278675556183,25.73
2017-05-01T09:06:00.000+09:00,34.15897297859192,134.50280368328094,23.14
2017-05-01T09:06:01.000+09:00,34.15895652770996,134.50280737876892,21.87
2017-05-01T09:06:02.000+09:00,34.15895700454712,134.5027824640274,21.17
2017-05-01T09:06:03.000+09:00,34.1589537858963,134.5027618408203,20.51
2017-05-01T09:06:04.000+09:00,34.15895700454712,134.5027356147766,20.04
2017-05-01T09:06:05.000+09:00,34.1589560508728,134.50272595882416,19.89
2017-05-01T09:06:06.000+09:00,34.15895366668701,134.50270628929138,19.61
2017-05-01T09:06:07.000+09:00,34.15894973278046,134.50268399715424,19.78
2017-05-01T09:06:08.000+09:00,34.15894603729248,134.50266420841217,19.44
2017-05-01T09:06:09.000+09:00,34.15894305706024,134.50264883041382,19.25
2017-05-01T09:06:10.000+09:00,34.158939599990845,134.50263285636902,19.17
2017-05-01T09:06:11.000+09:00,34.158934235572815,134.50260853767395,19.32
2017-05-01T09:06:12.000+09:00,34.15892541408539,134.5025840997696,19.54
2017-05-01T09:06:13.000+09:00,34.15891969203949,134.50257015228271,19.14
2017-05-01T09:06:14.000+09:00,34.1589252948761,134.50256514549255,19.18
2017-05-01T09:06:15.000+09:00,34.15893602371216,134.5025498867035,19.34
2017-05-01T09:06:16.000+09:00,34.15894973278046,134.50253546237946,19.43
2017-05-01T09:06:17.000+09:00,34.15895855426788,134.50252449512482,19.48
2017-05-01T09:06:18.000+09:00,34.15896928310394,134.50251269340515,19.43
2017-05-01T09:06:19.000+09:00,34.15898001194,134.5025051832199,19.69
2017-05-01T09:06:20.000+09:00,34.15898823738098,134.50249934196472,20.05
2017-05-01T09:06:21.000+09:00,34.15898823738098,134.50249934196472,19.86
2017-05-01T09:06:22.000+09:00,34.15898823738098,134.50249934196472,19.93
2017-05-01T09:06:23.000+09:00,34.15898823738098,134.50249934196472,20.07
2017-05-01T09:06:24.000+09:00,34.15898895263672,134.50248908996582,20.03
2017-05-01T09:06:25.000+09:00,34.158984303474426,134.50247395038605,20.18
2017-05-01T09:06:26.000+09:00,34.15898060798645,134.50245904922485,20.16
2017-05-01T09:06:27.000+09:00,34.15897357463837,134.5024391412735,20.27
2017-05-01T09:06:28.000+09:00,34.15896689891815,134.5024207830429,20.29
2017-05-01T09:06:29.000+09:00,34.15896439552307,134.5024050474167,20.14
2017-05-01T09:06:30.000+09:00,34.15896117687225,134.50238752365112,20.19
2017-05-01T09:06:31.000+09:00,34.158955812454224,134.5023694038391,20.23
2017-05-01T09:06:32.000+09:00,34.15894830226898,134.50235509872437,20.32
2017-05-01T09:06:33.000+09:00,34.15894114971161,134.50234138965607,20.39
2017-05-01T09:06:34.000+09:00,34.15893828868866,134.50232875347137,20.6
2017-05-01T09:06:35.000+09:00,34.15893840789795,134.50231802463531,20.46
2017-05-01T09:06:36.000+09:00,34.15893888473511,134.50230515003204,20.69
2017-05-01T09:06:37.000+09:00,34.15893876552582,134.5022897720337,20.55
2017-05-01T09:06:38.000+09:00,34.1589378118515,134.50227236747742,20.81
2017-05-01T09:06:39.000+09:00,34.15893590450287,134.50225353240967,20.87
2017-05-01T09:06:40.000+09:00,34.15893256664276,134.50223433971405,20.77
2017-05-01T09:06:41.000+09:00,34.15892970561981,134.50221478939056,20.85
2017-05-01T09:06:42.000+09:00,34.15892708301544,134.50219523906708,20.87
2017-05-01T09:06:43.000+09:00,34.15892505645752,134.50217473506927,20.94
2017-05-01T09:06:44.000+09:00,34.15892314910889,134.50215458869934,21.08
2017-05-01T09:06:45.000+09:00,34.15892255306244,134.50213408470154,20.99
2017-05-01T09:06:46.000+09:00,34.158923387527466,134.50211226940155,21.27
2017-05-01T09:06:47.000+09:00,34.1589230298996,134.50209033489227,21.26
2017-05-01T09:06:48.000+09:00,34.15891981124878,134.50206899642944,21.14
2017-05-01T09:06:49.000+09:00,34.15891373157501,134.50204825401306,21.23
2017-05-01T09:06:50.000+09:00,34.15890729427338,134.50202751159668,21.32
2017-05-01T09:06:51.000+09:00,34.1589013338089,134.5020068883896,21.18
2017-05-01T09:06:52.000+09:00,34.158897399902344,134.50198769569397,21.18
2017-05-01T09:06:53.000+09:00,34.158894658088684,134.50196814537048,21.2
2017-05-01T09:06:54.000+09:00,34.15889275074005,134.5019484758377,21.21
2017-05-01T09:06:55.000+09:00,34.158892035484314,134.50193095207214,21.25
2017-05-01T09:06:56.000+09:00,34.15889108181,134.50191235542297,21.46
2017-05-01T09:06:57.000+09:00,34.15889036655426,134.50189328193665,21.48
2017-05-01T09:06:58.000+09:00,34.15889108181,134.50187301635742,21.31
2017-05-01T09:06:59.000+09:00,34.1588921546936,134.5018515586853,21.52
2017-05-01T09:07:00.000+09:00,34.15889310836792,134.50183045864105,21.2
